Generation,Best_fitness_score,Lines_cleared,Average_fitness,Run
0,700,8,8.0,1
1,2100,22,380.0,1
2,1600,17,520.0,1
3,1900,20,444.0,1
4,2000,21,654.0,1
5,4200,43,862.0,1
6,2600,27,916.0,1
7,4100,42,1068.0,1
8,3700,38,1026.0,1
9,6900,70,1566.0,1
10,5400,55,1880.0,1
11,8900,90,2088.0,1
12,8300,84,2018.0,1
13,11200,113,2596.0,1
14,13100,132,3212.0,1
15,14000,141,3530.0,1
16,10200,104,3128.0,1
17,13200,133,3204.0,1
18,24800,249,4230.0,1
19,14100,142,5458.0,1
20,37900,380,5738.0,1
21,31500,316,7102.0,1
22,46700,468,10506.0,1
23,32600,327,7492.0,1
24,46800,469,8436.0,1
